"Outcome","Variable","N","Crude mean difference (95% CI)","Adjusted * mean difference (95% CI)"
"EPDS","Seasonal water",881,"-1.67 (-3.72, 0.38)","-0.90 (-2.94, 1.15)"
"EPDS","Permanent water",881,"-0.35 (-0.56, -0.13)","-0.22 (-0.43, -0.00)"
